dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1789480889,1,-119.298372,50.698375,0.000000,2.751101,-1.000000,0.000000,1,0,351.266532
1789492149,1,-119.298282,50.698201,0.000000,15.652031,1.380419,20.375008,1,0,354.309705
1789494868,1,-119.299144,50.699081,0.000000,17.418946,0.695172,95.624325,1,0,347.417496
1789495453,1,-119.297396,50.698063,0.000000,4.748652,5.635528,167.568967,1,0,354.322698
1789495461,1,-119.297215,50.697885,0.000000,4.748652,0.046716,23.572822,1,0,355.161420
1789495510,1,-119.296177,50.698028,0.000000,4.748652,11.410447,75.045688,1,0,354.273484
1789495517,1,-119.295170,50.698446,0.000000,4.748651,12.248138,84.998386,1,0,354.295286
1789495523,1,-119.294288,50.698815,0.000000,4.748651,12.218122,74.623630,1,0,354.434124
1789495529,1,-119.293418,50.699138,0.000000,4.748651,12.053873,71.202312,1,0,353.964829
1789495536,1,-119.292236,50.699444,0.000000,4.748651,12.661495,90.186083,1,0,354.141412
1789495542,1,-119.291136,50.699603,0.000000,4.748651,13.602344,79.708200,1,0,354.092946
1789495548,1,-119.289963,50.699649,0.000000,4.748651,13.714344,83.036396,1,0,352.618760
1789495554,1,-119.288803,50.699655,0.000000,4.748651,13.636418,81.962744,1,0,352.258496
1789495560,1,-119.287663,50.699654,0.000000,4.748651,13.238855,80.547002,1,0,353.096563
1789495567,1,-119.286356,50.699657,0.000000,4.748651,13.482268,92.346980,1,0,356.949703
1789495573,1,-119.285451,50.699714,0.000000,4.748652,6.446547,64.256661,1,0,358.764980
1789495613,1,-119.284543,50.699857,0.000000,4.748651,9.983025,66.097992,1,0,359.276499
1789495619,1,-119.283603,50.700128,0.000000,4.748652,13.278900,72.938357,1,0,356.703567
1789495625,1,-119.282642,50.700511,0.000000,3.353661,13.298594,80.161282,1,0,356.170426
1789495632,1,-119.281520,50.700961,0.000000,2.321541,13.441708,93.758991,1,0,355.386867
1789495639,1,-119.280483,50.701375,0.000000,2.277383,11.568327,86.542829,1,0,357.097044
1789495646,1,-119.279459,50.701785,0.000000,2.002895,12.289460,85.528467,1,0,359.394519
1789495653,1,-119.278298,50.702121,0.000000,2.000024,13.152729,90.145912,1,0,362.886696
1789495660,1,-119.276975,50.702160,0.000000,2.000000,13.516294,93.577650,1,0,368.140072
1789495668,1,-119.275639,50.702159,0.000000,2.000000,13.494857,94.395685,1,0,374.568446
1789495674,1,-119.274489,50.702162,0.000000,2.026011,13.528585,81.254479,1,0,380.635839
1789495680,1,-119.273334,50.702168,0.000000,2.098623,13.679506,81.609877,1,0,386.418637
1789495686,1,-119.272171,50.702182,0.000000,2.001265,13.796361,82.187221,1,0,391.574439
1789495693,1,-119.270807,50.702311,0.000000,2.000007,14.102318,97.436968,1,0,395.506727
1789495698,1,-119.269726,50.702625,0.000000,2.002685,13.925796,83.988011,1,0,396.840710
1789495704,1,-119.268831,50.703102,0.000000,2.378894,13.723246,82.552389,1,0,397.913165
1789495711,1,-119.268081,50.703812,0.000000,2.017731,13.584532,95.113297,1,0,399.900800
1789495718,1,-119.267493,50.704528,0.000000,2.013584,11.237826,89.836297,1,0,402.511762
1789495725,1,-119.266964,50.705216,0.000000,2.039269,13.667164,85.176804,1,0,407.454974
1789495731,1,-119.266411,50.705834,0.000000,2.000570,13.309425,79.077501,1,0,412.001108
1789495737,1,-119.265468,50.706461,0.000000,2.278684,17.992595,96.457437,1,0,419.072060
1789495742,1,-119.264293,50.706886,0.000000,2.001647,19.008056,95.533109,1,0,424.987929
1789495747,1,-119.262973,50.707068,0.000000,2.068434,19.114422,95.429298,1,0,430.635586
1789495753,1,-119.261352,50.707080,0.000000,2.091392,19.086064,114.529796,1,0,437.515280
1789495758,1,-119.260008,50.707113,0.000000,2.094212,19.078449,95.023290,1,0,443.834586
1789495764,1,-119.258385,50.707116,0.000000,2.096053,19.123446,114.664041,1,0,451.306272
1789495770,1,-119.256760,50.707122,0.000000,2.094950,19.171382,114.806929,1,0,458.866511
1789495775,1,-119.255401,50.707126,0.000000,2.095501,19.316802,96.013424,1,0,464.232434
1789495780,1,-119.254046,50.707128,0.000000,2.093281,18.283104,95.730127,1,0,468.599351
1789495786,1,-119.252869,50.707120,0.000000,2.092214,10.700478,83.159095,1,0,471.595922
1789495794,1,-119.252105,50.707121,0.000000,2.265019,5.346249,53.976273,1,0,474.458027
1789495803,1,-119.251043,50.707121,0.000000,2.421596,10.862494,75.029724,1,0,477.984145
1789495809,1,-119.249930,50.707121,0.000000,2.430436,14.243041,78.632890,1,0,481.523081
1789495816,1,-119.248413,50.707126,0.000000,2.433357,16.086462,107.176769,1,0,482.599272
1789495820,1,-119.247175,50.707134,0.000000,2.430969,18.694896,87.468633,1,0,480.950911
1789495825,1,-119.245773,50.707139,0.000000,2.508873,19.953197,99.052140,1,0,476.440581
1789495831,1,-119.244081,50.707135,0.000000,2.568012,20.539299,119.539654,1,0,469.941823
1789495836,1,-119.242484,50.707136,0.000000,2.581085,24.004673,112.827095,1,0,466.237471
1789495840,1,-119.241097,50.707133,0.000000,2.582463,24.540169,97.991197,1,0,464.158430
1789495844,1,-119.239714,50.707107,0.000000,2.582963,23.971921,97.750808,1,0,462.502354
1789495848,1,-119.238427,50.707107,0.000000,2.585297,22.136451,90.925643,1,0,460.625518
1789495853,1,-119.236891,50.707133,0.000000,2.582814,21.384740,108.555830,1,0,458.813848
1789495858,1,-119.235414,50.707274,0.000000,2.582397,21.007313,105.521395,1,0,457.208747
1789495863,1,-119.234032,50.707609,0.000000,2.578873,20.645203,104.508401,1,0,455.636926
1789495869,1,-119.232481,50.708314,0.000000,2.575180,24.021722,134.753950,1,0,454.453385
1789495874,1,-119.231321,50.709025,0.000000,2.574650,20.139814,113.892489,1,0,452.723971
1789495880,1,-119.230480,50.709597,0.000000,2.575041,11.125172,87.057045,1,0,450.366299
1789495888,1,-119.230017,50.709933,0.000000,2.766510,2.262141,49.669126,1,0,449.924228
1789495897,1,-119.229282,50.710509,0.000000,2.938379,16.657837,82.474941,1,0,449.487747
1789495903,1,-119.228282,50.711404,0.000000,3.055387,20.816664,122.082848,1,0,446.285382
1789495908,1,-119.227601,50.712286,0.000000,3.089439,23.150194,109.281107,1,0,443.808155
1789495912,1,-119.227283,50.713144,0.000000,3.096970,24.978200,98.060575,1,0,441.844852
1789495917,1,-119.227210,50.714048,0.000000,3.100191,25.208377,100.702525,1,0,439.189536
1789495921,1,-119.227199,50.714944,0.000000,3.098129,24.729628,99.683414,1,0,436.688415
1789495926,1,-119.227203,50.716040,0.000000,3.096059,24.430522,121.930749,1,0,433.958487
1789495931,1,-119.227241,50.717143,0.000000,3.094079,24.598955,122.738475,1,0,431.334749
1789495935,1,-119.227274,50.718235,0.000000,3.091381,24.227946,121.507675,1,0,428.311404
1789495939,1,-119.227276,50.719103,0.000000,3.090098,24.053817,96.565398,1,0,425.986531
1789495943,1,-119.227276,50.719969,0.000000,3.089431,24.072779,96.342762,1,0,424.042538
1789495948,1,-119.227277,50.721062,0.000000,3.089615,24.397550,121.596553,1,0,420.957282
1789495952,1,-119.227277,50.721944,0.000000,3.091345,24.669375,98.122690,1,0,419.057947
1789495957,1,-119.227281,50.723074,0.000000,3.089911,25.529116,125.713015,1,0,416.317304
1789495961,1,-119.227279,50.724005,0.000000,3.089349,26.043780,103.574057,1,0,414.263061
1789495966,1,-119.227279,50.725189,0.000000,3.088603,26.629730,131.720225,1,0,412.174659
1789495970,1,-119.227279,50.726154,0.000000,3.089304,26.967781,107.356399,1,0,410.199697
1789495975,1,-119.227279,50.727374,0.000000,3.089770,27.272359,135.725146,1,0,408.163284
1789495980,1,-119.227280,50.728608,0.000000,3.089780,27.460273,137.282742,1,0,407.517034
1789495984,1,-119.227279,50.729595,0.000000,3.088813,27.438578,109.803944,1,0,407.293542
1789495989,1,-119.227282,50.730829,0.000000,3.088203,27.353371,137.282890,1,0,408.579775
1789495994,1,-119.227288,50.732059,0.000000,3.089331,27.319667,136.838418,1,0,410.721318
1789495999,1,-119.227290,50.733271,0.000000,3.088361,26.826419,134.835490,1,0,413.249344
1789496003,1,-119.227292,50.734226,0.000000,3.139223,26.354805,106.244198,1,0,413.868389
1789496007,1,-119.227281,50.735164,0.000000,3.190168,26.016984,104.355735,1,0,412.886040
1789496011,1,-119.227277,50.736093,0.000000,3.212603,25.731581,103.351953,1,0,410.804125
1789496016,1,-119.227278,50.737245,0.000000,3.225931,25.756356,128.160342,1,0,405.892159
1789496021,1,-119.227271,50.738409,0.000000,3.225527,25.670575,129.496253,1,0,397.927408
1789496025,1,-119.227273,50.739319,0.000000,3.224865,25.380791,101.237727,1,0,391.518551
1789496029,1,-119.227269,50.740247,0.000000,3.223610,26.005837,103.240417,1,0,385.486077
1789496034,1,-119.227268,50.741424,0.000000,3.222819,26.113476,130.941193,1,0,380.380284
1789496038,1,-119.227270,50.742354,0.000000,3.222584,25.600957,103.462478,1,0,378.320757
1789496042,1,-119.227272,50.743262,0.000000,3.222378,24.948554,101.015046,1,0,377.302489
1789496047,1,-119.227265,50.744348,0.000000,3.221776,23.508257,120.818426,1,0,376.114765
1789496052,1,-119.227159,50.745395,0.000000,3.219647,24.529005,116.718738,1,0,375.646560
1789496056,1,-119.226816,50.746271,0.000000,3.232779,24.876959,100.417554,1,0,375.026622
1789496061,1,-119.226051,50.747264,0.000000,3.323758,24.635457,122.963206,1,0,373.852266
1789496065,1,-119.225182,50.747954,0.000000,3.353699,24.704492,98.257552,1,0,372.432597
1789496069,1,-119.224162,50.748579,0.000000,3.365687,25.275032,100.088266,1,0,369.374187
1789496073,1,-119.223106,50.749192,0.000000,3.373408,25.184927,101.025266,1,0,365.501345
1789496077,1,-119.222079,50.749806,0.000000,3.371338,24.625279,99.600922,1,0,362.348170
1789496081,1,-119.221123,50.750434,0.000000,3.369489,24.128021,97.129488,1,0,360.825195
1789496085,1,-119.220192,50.751074,0.000000,3.374326,24.280414,96.888798,1,0,360.264555
1789496089,1,-119.219177,50.751671,0.000000,4.730475,24.588837,97.690647,1,0,359.589627
1789496093,1,-119.218125,50.752257,0.000000,4.748427,24.698462,98.809955,1,0,358.731558
1789496098,1,-119.216804,50.752986,0.000000,4.748651,24.697807,123.567620,1,0,357.601135
1789496103,1,-119.215510,50.753734,0.000000,4.748652,24.701169,123.550030,1,0,356.603274
1789496107,1,-119.214485,50.754337,0.000000,4.748652,24.595260,98.656381,1,0,356.544652
1789496111,1,-119.213497,50.754964,0.000000,4.748652,24.668640,98.627923,1,0,356.765509
1789496115,1,-119.212614,50.755654,0.000000,4.748652,24.763601,98.873006,1,0,356.946747
1789496119,1,-119.211816,50.756384,0.000000,4.748652,24.714900,98.829078,1,0,356.907272
1789496124,1,-119.210940,50.757347,0.000000,4.748652,24.730408,123.691870,1,0,356.666915
1789496128,1,-119.210174,50.758085,0.000000,4.748652,24.579540,98.298717,1,0,356.687492
1789496132,1,-119.209143,50.758656,0.000000,4.748652,24.053029,96.583747,1,0,355.969021
1789496137,1,-119.207873,50.759394,0.000000,4.748652,24.420726,121.542029,1,0,356.443052
1789496141,1,-119.207110,50.760131,0.000000,4.748652,25.012458,98.089446,1,0,355.929123
1789496145,1,-119.206322,50.760921,0.000000,4.748652,26.047648,104.001298,1,0,356.523581
1789496149,1,-119.205474,50.761739,0.000000,4.748652,27.571225,108.914258,1,0,357.628111
1789496153,1,-119.204619,50.762562,0.000000,4.748652,27.307304,109.650499,1,0,359.022287
1789496157,1,-119.203765,50.763388,0.000000,4.748652,27.474329,109.887006,1,0,359.858747
1789496161,1,-119.202878,50.764201,0.000000,4.748652,27.543590,109.988549,1,0,360.545147
1789496165,1,-119.201848,50.764943,0.000000,4.748652,27.431062,109.980988,1,0,360.961272
1789496169,1,-119.200687,50.765606,0.000000,4.748652,27.566001,110.231690,1,0,361.565151
1789496174,1,-119.199075,50.766300,0.000000,4.748652,27.469426,137.469776,1,0,361.454659
1789496178,1,-119.197759,50.766830,0.000000,4.748652,27.444041,109.994009,1,0,362.110424
1789496182,1,-119.196416,50.767323,0.000000,4.748652,27.368437,109.488105,1,0,364.011897
1789496186,1,-119.195074,50.767815,0.000000,4.748652,27.458835,109.371358,1,0,365.944943
1789496191,1,-119.193502,50.768550,0.000000,4.748652,27.597510,137.790837,1,0,366.990635
1789496195,1,-119.192123,50.769011,0.000000,4.748652,27.454461,109.979938,1,0,366.610768
1789496199,1,-119.190730,50.769459,0.000000,4.748652,27.525571,110.192988,1,0,365.916243
1789496203,1,-119.189343,50.769909,0.000000,4.748652,27.484519,109.916778,1,0,365.946482
1789496207,1,-119.187981,50.770392,0.000000,4.748652,27.531682,110.093991,1,0,365.662857
1789496212,1,-119.186306,50.771025,0.000000,4.748652,27.535217,137.564464,1,0,364.463604
1789496216,1,-119.185023,50.771589,0.000000,4.748652,27.475478,110.137382,1,0,363.233054
1789496220,1,-119.183802,50.772206,0.000000,4.748652,27.540232,110.146226,1,0,362.139810
1789496225,1,-119.182308,50.772996,0.000000,4.748652,27.259517,137.237145,1,0,362.110335
1789496229,1,-119.181120,50.773627,0.000000,4.748652,27.368838,109.321617,1,0,362.821644
1789496233,1,-119.179924,50.774258,0.000000,4.748652,27.425786,109.754852,1,0,363.522938
1789496238,1,-119.178534,50.775122,0.000000,4.748652,27.553871,137.309480,1,0,364.120309
1789496242,1,-119.177511,50.775866,0.000000,4.748652,27.402381,109.812556,1,0,364.901412
1789496246,1,-119.176488,50.776606,0.000000,4.748652,27.329822,109.477551,1,0,366.550594
1789496250,1,-119.175470,50.777346,0.000000,4.748652,27.273696,109.245404,1,0,369.021671
1789496255,1,-119.174265,50.778302,0.000000,4.748652,27.238828,136.151615,1,0,373.955437
1789496259,1,-119.173410,50.779124,0.000000,4.748652,27.483626,109.543329,1,0,377.404710
1789496263,1,-119.172554,50.779954,0.000000,4.748652,27.614027,110.326041,1,0,379.887062
